name,englishName,minPlayers,maxPlayers,minPlayTime,maxPlayTime,rating,ratingCount,learningComplexity,strategyComplexity,complexityVotes,isExpansion,code,atlasID,atlasURL,thumbnail,
ストーンエイジ,Stone Age,2,5,60,90,3.649496022,419,3,3,1,FALSE,4001504481834,BUDJJb08Uj,https://www.boardgameatlas.com/game/BUDJJb08Uj/stone-age,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254167104-512BzBFksXNL.jpg,
Cosmic encounter,Cosmic Encounter,3,5,90,120,3.783088235,374,3.25,2.5,4,FALSE,4542325402016,FVKaz7JhBO,https://www.boardgameatlas.com/game/FVKaz7JhBO/cosmic-encounter,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559253933920-61BaOTar9nL.jpg,
ボーナンザ,Bohnanza,2,7,45,60,3.424896761,369,2,2.5,2,FALSE,4580215110085,F1aw7kyGTA,https://www.boardgameatlas.com/game/F1aw7kyGTA/bohnanza,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254186139-51cXhVYYHwL.jpg,
テラミスティカ,Terra Mystica,2,5,60,150,3.920779037,353,4,4.5,4,FALSE,4560450500049,sxLwbJHu77,https://www.boardgameatlas.com/game/sxLwbJHu77/terra-mystica,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1612658886668,
Istanbul,Istanbul,2,5,40,60,3.772340755,337,2,3,1,FALSE,4981932021690,b1nBQaNdH6,https://www.boardgameatlas.com/game/b1nBQaNdH6/istanbul,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254173065-51atw15TEHL.jpg,
シティビルダー,Suburbia,1,4,90,105,3.639737883,337,0,0,0,FALSE,4542325405154,fxxi8zX7L9,https://www.boardgameatlas.com/game/fxxi8zX7L9/suburbia,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324108555.jpg,
アグリコラ,Agricola,1,5,30,60,3.900892857,336,0,0,0,FALSE,4981932020433,DxWHvojIM1,https://www.boardgameatlas.com/game/DxWHvojIM1/agricola-1st-edition,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1575999333848,
チェスセット,Chess,2,2,60,90,3.330570731,297,2.25,3.75,4,FALSE,8852031700754,3hnL2wtWnM,https://www.boardgameatlas.com/game/3hnL2wtWnM/chess,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1594689503033,
Risk,Risk,2,6,120,120,2.533380505,294,3,2,1,FALSE,700304004581,EL3YmDLY6W,https://www.boardgameatlas.com/game/EL3YmDLY6W/risk,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254847937-51zyVWbt8aL.jpg,
キャプテン・ソナー,Captain Sonar,2,8,30,60,3.675793814,291,2,3,1,FALSE,3760146643123,jgUiAHDCTK,https://www.boardgameatlas.com/game/jgUiAHDCTK/captain-sonar,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254198504-51MUo6Lpt7L.jpg,
エルドリッチホラー,Eldritch Horror,1,8,120,240,3.682290493,284,4.5,4,2,FALSE,4542325404225,ZwlnfX1J2z,https://www.boardgameatlas.com/game/ZwlnfX1J2z/eldritch-horror,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254957620-61KqujHT2B4L.jpg,
ドミニオン:第二版,Dominion: Second Edition,2,4,15,60,3.56411053,280,2.2,2.8,5,FALSE,4981932023069,6VQXkkC5ql,https://www.boardgameatlas.com/game/6VQXkkC5ql/dominion-2nd-edition,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1636864291349,
スカル,Skull,3,6,15,45,3.529625,280,2,2.5,2,FALSE,3558380081586,K92cryrFW5,https://www.boardgameatlas.com/game/K92cryrFW5/skull,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629325583349.jpg,
ドミニオン基本カードセット,Dominion: Second Edition,2,4,15,60,3.56411053,280,2.2,2.8,5,FALSE,4981932021072,6VQXkkC5ql,https://www.boardgameatlas.com/game/6VQXkkC5ql/dominion-2nd-edition,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1636864291349,
Netrunner,Android: Netrunner,2,2,30,60,3.728592058,277,4,4.5,2,FALSE,9781616614607,08q3IWC9lC,https://www.boardgameatlas.com/game/08q3IWC9lC/android-netrunner-original-core-set,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1587690458668,
Battlestar Galactica -the board game-,Battlestar Galactica: The Board Game,3,6,120,180,3.671714695,276,3,3,1,FALSE,9781589944602,YIBcOZqGkI,https://www.boardgameatlas.com/game/YIBcOZqGkI/battlestar-galactica,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559258003590-613F9Ue01nL.jpg,
キャメルアップ,Camel Up,2,8,15,30,3.338628372,275,2,2,1,FALSE,4981932021683,unMxq0jVdk,https://www.boardgameatlas.com/game/unMxq0jVdk/camel-up,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254190595-61DAGcQ3umL.jpg,
アルハンブラ,Alhambra,2,6,45,60,3.416984104,271,2,3,1,FALSE,4010350060261,PDBYoFDnbu,https://www.boardgameatlas.com/game/PDBYoFDnbu/alhambra-board-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255046121-61RNaJ8e1CL.jpg,
Blokus,Blokus,2,4,20,20,3.19330855,269,1,2,3,FALSE,4977524481133,d7vHFjxM6M,https://www.boardgameatlas.com/game/d7vHFjxM6M/blokus,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1590173343841,
ル・アーブル,Le Havre,1,5,30,150,3.852548817,266,4,5,1,FALSE,4981932020471,wU5YAJMv79,https://www.boardgameatlas.com/game/wU5YAJMv79/le-havre,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629325790133.jpg,
ダイアモンド,Diamant,3,8,30,30,3.302346899,258,1,2,1,FALSE,4001504490775,UVbhOSJZCA,https://www.boardgameatlas.com/game/UVbhOSJZCA/diamantincan-gold,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1543420732666,
ESCAPE,Escape: The Curse of the Temple,1,5,10,15,3.404334596,252,0,0,0,FALSE,4010350060902,kbQ7WwkwRW,https://www.boardgameatlas.com/game/kbQ7WwkwRW/escape-the-curse-of-the-temple-board-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254939492-61Fqo427iEL.jpg,
あやつり人形,Citadels,2,8,30,60,3.286743885,250,2,3,1,FALSE,4001504481230,Yd28NnaUA0,https://www.boardgameatlas.com/game/Yd28NnaUA0/citadels,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257657510-61PCdxrzI9L.jpg,
Memoir '44 Board Game,Memoir '44,2,8,30,60,3.64306073,244,2,3,3,FALSE,824968718919,XzBSrq35uz,https://www.boardgameatlas.com/game/XzBSrq35uz/memoir-44,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255072368-51uoDf8tU2L.jpg,
ジャスト・ワン,Just One,3,7,20,30,3.786046025,239,1.2,0,5,FALSE,4542325400708,WF5Jwf8RK9,https://www.boardgameatlas.com/game/WF5Jwf8RK9/just-one,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1627959788018,
Saboteur,Saboteur,3,10,30,45,3.1,239,2,2,1,FALSE,4007396049008,0sd39XHoO7,https://www.boardgameatlas.com/game/0sd39XHoO7/saboteur,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1622217502713,
Euphrates & Tigris: Contest of Kings,Tigris & Euphrates,2,4,90,120,3.778714194,231,0,0,0,FALSE,4001504481155,zNDNB2oGkS,https://www.boardgameatlas.com/game/zNDNB2oGkS/tigris--euphrates,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254150791-61xIC0UrxVL.jpg,
Acquire,Acquire,3,6,90,120,3.504358424,222,0,0,0,FALSE,76930413050,fDqZtSW73n,https://www.boardgameatlas.com/game/fDqZtSW73n/acquire,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559253942244-61r7PicCt7L.jpg,
Village  ビレッジ,Village,2,4,60,90,3.608132678,220,3,3,1,FALSE,4250231754517,TtPHSNukZB,https://www.boardgameatlas.com/game/TtPHSNukZB/village,https://m.media-amazon.com/images/I/61XkXWPpGWL.jpg,
ニムト,6 Nimmt!,2,10,45,45,3.364454976,211,1,2,2,FALSE,4007396201550,gudsN2axFj,https://www.boardgameatlas.com/game/gudsN2axFj/mayfair-games-6-nimmt,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254847938-61Aw2BygsiZL.jpg,
Clue,Clue,3,6,30,60,2.679309453,209,1.666666667,2,3,FALSE,71404310392,WVgc4bUL8N,https://www.boardgameatlas.com/game/WVgc4bUL8N/clue-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1600449593257,
ラー,Ra,2,5,30,60,3.680354267,207,0,0,0,FALSE,4005556269013,lgtxzvZ1NM,https://www.boardgameatlas.com/game/lgtxzvZ1NM/ra,https://s3-us-west-1.amazonaws.com/5cc.images/games/userfiles/1647568753244-pic6746812.png,
Coloretto,Coloretto,3,5,30,48,3.344138359,205,0,0,0,FALSE,4011898080315,VtoOhDHEFA,https://www.boardgameatlas.com/game/VtoOhDHEFA/coloretto-card-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1567716576107,
コンセプト,Concept,4,12,30,45,3.214668317,202,2,3,1,FALSE,5425016922644,sjWj7oJrWL,https://www.boardgameatlas.com/game/sjWj7oJrWL/concept,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559258096678-41RrLkAsnLL.jpg,
ふたつの街の物語,Between Two Cities,1,7,30,45,3.397365854,200,0,0,0,FALSE,4542325313107,DrY71g7Sqw,https://www.boardgameatlas.com/game/DrY71g7Sqw/between-two-cities,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1542228412115,
エル・グランデ,El Grande,2,5,60,120,3.866331658,199,0,0,0,FALSE,4001504481124,07sKc1TGJS,https://www.boardgameatlas.com/game/07sKc1TGJS/el-grande,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1544574161503,
アルケミスト,Alchemists,2,4,120,180,3.704765001,199,4,4,1,FALSE,4542325310823,WyCNVFqDN2,https://www.boardgameatlas.com/game/WyCNVFqDN2/alchemists,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255077524-61a8J4UVuZL.jpg,
エル・グランデ  王と参謀,El Grande,2,5,60,120,3.866331658,199,0,0,0,FALSE,4001504481131,07sKc1TGJS,https://www.boardgameatlas.com/game/07sKc1TGJS/el-grande,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1544574161503,
モダンアート,Modern Art,3,5,60,90,3.687628866,194,2,3,1,FALSE,4571394090039,fmSDkAqJbH,https://www.boardgameatlas.com/game/fmSDkAqJbH/modern-art,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324166046.jpg,
ケイラス,Caylus,2,5,60,150,3.667342849,193,0,0,0,FALSE,4260071875136,CFFV7Sik8v,https://www.boardgameatlas.com/game/CFFV7Sik8v/caylus-board-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254588983-517ii83vKTL.jpg,
ディセント第2版,Descent: Journeys in the Dark Second Edition,1,5,60,120,3.613744722,192,0,0,0,FALSE,4542325401057,k1mYQIlWur,https://www.boardgameatlas.com/game/k1mYQIlWur/descent-journeys-in-the-dark-2nd-edition,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324187288.jpg,
ドミニオン　陰謀,Dominion: Intrigue,2,4,30,30,3.838829787,188,0,0,0,FALSE,4981932020501,QR88sdDvXX,https://www.boardgameatlas.com/game/QR88sdDvXX/dominion-intrigue,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1574016587402,
Can't stop,Can't Stop,2,4,30,45,3.372625698,179,2,2,2,FALSE,4021505981034,fjEr4WSlRJ,https://www.boardgameatlas.com/game/fjEr4WSlRJ/cant-stop,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255094769-517LT9wMt2BL.jpg,
Ice Cool,ICECOOL,2,4,20,30,3.409028571,175,0,0,0,FALSE,4751010195168,if0wZ9AwSv,https://www.boardgameatlas.com/game/if0wZ9AwSv/ice-cool,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255104275-41xtEbwUyPL.jpg,
イーオンズ・エンド,Aeon's End,1,4,60,75,3.885258621,174,2,3,1,FALSE,4542325316023,CT18FG3Yz5,https://www.boardgameatlas.com/game/CT18FG3Yz5/aeons-end,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629324563382.jpg,
Ascension,Ascension: Deckbuilding Game,1,4,30,45,3.29640592,172,2,2,1,FALSE,857789002004,KMSrzJe2U1,https://www.boardgameatlas.com/game/KMSrzJe2U1/ascension-deckbuilding-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254911428-51XvWJEJg7L.jpg,
カタンの開拓者たち 5-6人拡張セット,Catan: 5-6 Player Extension,5,6,60,90,3.186278195,171,0,0,0,TRUE,4002051684914,EvYzPCnCGG,https://www.boardgameatlas.com/game/EvYzPCnCGG/catan-56-player-extension,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254797611-51uLrWkNt0L.jpg,
Boss Monster,Boss Monster,2,4,30,45,2.879239766,171,3,2,1,FALSE,856934004009,MQcEH8C8Aa,https://www.boardgameatlas.com/game/MQcEH8C8Aa/boss-monster,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255040530-51RxIS8kXNL.jpg,
ミスティック・ベール,Mystic Vale,2,4,45,60,3.53364328,169,2.5,2.5,2,FALSE,4542325405529,9F2mfE7Y6Z,https://www.boardgameatlas.com/game/9F2mfE7Y6Z/mystic-vale,https://s3-us-west-1.amazonaws.com/5cc.images/games/userfiles/1648327116557-Mystic_Vale_1024x1024@2x.jpg,
カタンの開拓者たち 騎士と古城,Catan: Cities & Knights,3,4,60,90,3.557310127,158,3,3,3,TRUE,4538057005083,E5TYKwLTf0,https://www.boardgameatlas.com/game/E5TYKwLTf0/catan-cities-and-knights-expansion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257359245-51DYsPZcYyL.jpg,
エミネント・ドメイン,Eminent Domain,2,4,45,60,3.378387097,155,3,4,1,FALSE,4542325409107,FD8CqReNt1,https://www.boardgameatlas.com/game/FD8CqReNt1/eminent-domain,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255018885-51mhnXqqyOL.jpg,
ラミィキューブ,Rummikub,2,4,60,60,2.985451613,155,2,3,2,FALSE,4972825128336,3Qx47A4K8M,https://www.boardgameatlas.com/game/3Qx47A4K8M/rummikub--the-original-rummy-tile-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254849801-61DrzE6DaPL.jpg,
ドミニオン : 繁栄,Dominion: Prosperity,2,4,30,45,3.967135762,151,0,0,0,TRUE,4981932020846,vOaFLLUzWg,https://www.boardgameatlas.com/game/vOaFLLUzWg/dominion-prosperity-expansion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254142049-61NcacIijQL.jpg,
ドミニオン : 海辺,Dominion: Seaside,2,4,20,30,3.920237631,151,0,0,0,TRUE,4981932020570,H2QW6jUtqe,https://www.boardgameatlas.com/game/H2QW6jUtqe/dominion-seaside-expansion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254183526-613NIySFtKL.jpg,
Hansa Teutonica,Hansa Teutonica,2,5,60,72,3.81,151,3,4,1,FALSE,681706070506,pHwEkloleb,https://www.boardgameatlas.com/game/pHwEkloleb/hansa-teutonica,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255826512-51POXtZtLML.jpg,
Durch die Wüste,Through the Desert,2,5,60,90,3.493311258,151,0,0,0,FALSE,4002051686819,BlcdRRfSEy,https://www.boardgameatlas.com/game/BlcdRRfSEy/through-the-desert,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255006722-61JrtGsUhQL.jpg,
7 Wonders: Leaders,7 Wonders: Leaders,2,7,36,42,3.769866667,150,0,0,0,TRUE,5425016920619,esKU38B2OY,https://www.boardgameatlas.com/game/esKU38B2OY/7-wonders-leaders-expansion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559255085419-51XG9er4G3L.jpg,
Stratego,Stratego,2,2,45,45,2.9513,150,2,2.333333333,3,FALSE,32244049163,y3WGl0j2FA,https://www.boardgameatlas.com/game/y3WGl0j2FA/playmonster-stratego-board-game,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1575296831317,
スペース・アラート,Space Alert,1,5,30,45,3.399594595,148,3,3.5,2,FALSE,4562365270079,uVD7OzRUNZ,https://www.boardgameatlas.com/game/uVD7OzRUNZ/space-alert,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254968358-512yA0s-XGL.jpg,
カタンの開拓者たち Seafarers,Catan: Seafarers Expansion,3,4,60,90,3.31,145,2,2,2,TRUE,4002051685218,NoWy3nPYfj,https://www.boardgameatlas.com/game/NoWy3nPYfj/catan-seafarers-expansion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257503054-51u0777bL3L.jpg,
インジーニアス,Ingenious,1,4,30,45,3.442708333,144,0,0,0,FALSE,4981932020716,CLEu6iqpxa,https://www.boardgameatlas.com/game/CLEu6iqpxa/ingenious,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254968359-51H6obZSjGL.jpg,
Spot It!,Spot It!,2,8,6,18,3.09359134,144,0,0,0,FALSE,803979004105,zOWVRE0eKL,https://www.boardgameatlas.com/game/zOWVRE0eKL/spot-it,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629322564445.jpg,
Flick 'em Up!,Flick 'em Up!,2,10,45,60,3.304061382,142,0,0,0,FALSE,681706200002,IGCnaN9aOy,https://www.boardgameatlas.com/game/IGCnaN9aOy/flick-em-up,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1629321722296.jpg,
スコットランドヤード,Scotland Yard,2,6,45,45,3.005663984,142,1,1.333333333,3,FALSE,4005556810161,t4jSv0hQA7,https://www.boardgameatlas.com/game/t4jSv0hQA7/scotland-yard,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254819288-51ruOK8wVqL.jpg,
ベガス,Las Vegas,2,5,30,45,3.487318841,138,0,0,0,FALSE,4005556266203,tAVKBpUzgB,https://www.boardgameatlas.com/game/tAVKBpUzgB/las-vegas,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254150791-51clKovssKL.jpg,
Samurai,Samurai,2,4,30,60,3.701827731,136,0,0,0,FALSE,4001504481193,uDl7CD01TP,https://www.boardgameatlas.com/game/uDl7CD01TP/samurai,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254132411-61TkTcHGlgL.jpg,
郵便馬車,Thurn and Taxis,2,4,60,60,3.421323529,136,0,0,0,FALSE,4001504481643,BUuV8FEwsq,https://www.boardgameatlas.com/game/BUuV8FEwsq/thurn-and-taxis,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1545457437452,
Thurn und Taxis,Thurn and Taxis,2,4,60,60,3.421323529,136,0,0,0,FALSE,4001504481698,BUuV8FEwsq,https://www.boardgameatlas.com/game/BUuV8FEwsq/thurn-and-taxis,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1545457437452,
サイズ - 大鎌戦役 - 拡張 彼方よりの侵攻,Scythe: Invaders from Afar,1,7,90,150,4.11117269,133,3,3,1,TRUE,4542325313152,aPOzLfTSS9,https://www.boardgameatlas.com/game/aPOzLfTSS9/scythe-invaders-from-afar-expansion,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1610393424024,
Pit,Pit,3,8,30,90,3.09375,128,0,0,0,FALSE,714043010192,IyHzBKHEAG,https://www.boardgameatlas.com/game/IyHzBKHEAG/pit,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1545087479984,
Loyang,At the Gates of Loyang,1,4,60,120,3.735208491,126,0,0,0,FALSE,4981932020617,xp7ukp16VO,https://www.boardgameatlas.com/game/xp7ukp16VO/at-the-gates-of-loyang,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559254950315-51qGottAZuL.jpg,
Summoner wars,Summoner Wars: Master Set,2,4,30,30,3.488888889,126,0,0,0,FALSE,753182231556,7CQxPn3IWt,https://www.boardgameatlas.com/game/7CQxPn3IWt/summoner-wars-master-set,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559256339116-51IoLULbf4L.jpg,
サンクトペテルブルク ドイツ語版,Saint Petersburg,2,4,45,60,3.364401858,123,0,0,0,FALSE,4001504481407,3JQ3df02MB,https://www.boardgameatlas.com/game/3JQ3df02MB/st-petersburg,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257158284-51KMR76J3SL.jpg,
海賊と商人,Merchants & Marauders,2,4,180,180,3.502715517,116,0,0,0,FALSE,681706070629,fd7jnoSPM6,https://www.boardgameatlas.com/game/fd7jnoSPM6/merchants-and-marauders,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1559257746427-61K0USEhGHL.jpg,
Mille Bornes,Mille Bornes,2,6,20,20,2.492655502,114,0,0,0,FALSE,4904810380511,4XtI9gBShx,https://www.boardgameatlas.com/game/4XtI9gBShx/mille-bornes,https://s3-us-west-1.amazonaws.com/5cc.images/games/uploaded/1541114602206,
